Timestamp,Vehicle,License Plate,Violation
2025-11-27 23:53:22,car,Unknown,OK
2025-11-27 23:53:22,bus,Unknown,OK
2025-11-27 23:53:22,car,Unknown,OK
2025-11-27 23:53:22,motorcycle,Unknown,OK
2025-11-27 23:53:22,motorcycle,Unknown,OK
2025-11-27 23:53:30,car,Unknown,OK
2025-11-27 23:53:30,bus,Unknown,OK
2025-11-27 23:53:30,car,Unknown,OK
2025-11-27 23:53:30,motorcycle,Unknown,OK
2025-11-27 23:53:30,motorcycle,Unknown,OK
2025-11-27 23:53:38,car,27851,OK
2025-11-27 23:53:38,car,Unknown,OK
2025-11-27 23:53:38,bus,Unknown,OK
2025-11-27 23:53:38,motorcycle,Unknown,OK
2025-11-27 23:53:38,motorcycle,Unknown,OK
2025-11-27 23:53:47,car,37651,OK
2025-11-27 23:53:47,car,Unknown,OK
2025-11-27 23:53:47,bus,Unknown,OK
2025-11-27 23:53:47,motorcycle,Unknown,OK
2025-11-27 23:53:47,motorcycle,Unknown,OK
2025-11-27 23:53:55,car,37851J,OK
2025-11-27 23:53:55,car,Unknown,OK
2025-11-27 23:53:55,bus,Unknown,OK
2025-11-27 23:53:55,motorcycle,Unknown,OK
2025-11-27 23:53:55,motorcycle,Unknown,OK
2025-11-27 23:54:03,car,37851J,OK
2025-11-27 23:54:03,car,Unknown,OK
2025-11-27 23:54:03,bus,Unknown,OK
2025-11-27 23:54:03,motorcycle,Unknown,OK
2025-11-27 23:54:03,motorcycle,Unknown,OK
2025-11-27 23:54:10,car,Unknown,OK
2025-11-27 23:54:10,car,Unknown,OK
2025-11-27 23:54:10,bus,Unknown,OK
2025-11-27 23:54:10,motorcycle,Unknown,OK
2025-11-27 23:54:10,motorcycle,Unknown,OK
2025-11-27 23:54:17,car,Unknown,OK
2025-11-27 23:54:17,car,Unknown,OK
2025-11-27 23:54:17,bus,Unknown,OK
2025-11-27 23:54:17,motorcycle,Unknown,OK
2025-11-27 23:54:17,motorcycle,Unknown,OK
2025-11-27 23:54:25,car,Unknown,OK
2025-11-27 23:54:25,car,Unknown,OK
2025-11-27 23:54:25,motorcycle,Unknown,OK
